timestamp,open,high,low,close,volume
2026-01-11 20:36:33.272623,2.60374513034705e-05,2.7490068219410165e-05,2.3601426526537444e-05,2.601343036382769e-05,6170248516.818765
2026-01-11 21:36:33.272623,2.4656470564724663e-05,2.719769367613491e-05,2.4214534182088505e-05,2.4783623071220415e-05,6165851676.230475
2026-01-11 22:36:33.272623,2.634947090692995e-05,2.6924649749849043e-05,2.5317736904482894e-05,2.6456475611147687e-05,6901576502.835854
2026-01-11 23:36:33.272623,2.851074848440834e-05,3.15006330255943e-05,2.575461766103266e-05,2.8447316876790924e-05,5386428654.082975
2026-01-12 00:36:33.272623,2.4781298153067097e-05,2.563688724736944e-05,2.1543254736170248e-05,2.4768601859041714e-05,6218166998.3948345
2026-01-12 01:36:33.272623,2.4813005057847575e-05,2.620591792753535e-05,2.2734563591793185e-05,2.482670815964117e-05,6075203477.013224
2026-01-12 02:36:33.272623,2.8786212323648462e-05,3.0092340957937942e-05,2.6816628364872635e-05,2.878462048234661e-05,6492390493.982523
2026-01-12 03:36:33.272623,2.7060455094576212e-05,2.8386035520714353e-05,2.422857579715923e-05,2.7032267329841316e-05,7499081794.5812435
2026-01-12 04:36:33.272623,2.4491689352376925e-05,2.7040210771737945e-05,2.3997639773859274e-05,2.4531412554570902e-05,6923770467.842441
2026-01-12 05:36:33.272623,2.6610104287959796e-05,2.680745592294283e-05,2.5595935168618953e-05,2.667238201083009e-05,5994785205.508383
2026-01-12 06:36:33.272623,2.4669273940538812e-05,2.5339168496235847e-05,2.2612568018170114e-05,2.465478837058536e-05,7068886203.197068
2026-01-12 07:36:33.272623,2.4632813879095304e-05,2.8153689891897377e-05,2.4478150054581592e-05,2.470532693710734e-05,5426852721.794923
2026-01-12 08:36:33.272623,2.6245022497375355e-05,2.6809216917897033e-05,2.5462419518993635e-05,2.6212918009337468e-05,5076368969.826997
2026-01-12 09:36:33.272623,2.196799393365773e-05,2.6754876510724314e-05,2.1735512460954627e-05,2.2080777040531852e-05,5511142147.037913
2026-01-12 10:36:33.272623,2.2535104103515115e-05,2.3559076194806536e-05,2.0876276418307705e-05,2.246574186884205e-05,5851161214.213174
2026-01-12 11:36:33.272623,2.476234975677952e-05,2.8305563662743095e-05,2.051305884462671e-05,2.4727291589523213e-05,6276504218.399135
2026-01-12 12:36:33.272623,2.3911976354493763e-05,2.540894286924492e-05,2.0738372394927246e-05,2.389362391994171e-05,6538003251.335458
2026-01-12 13:36:33.272623,2.6731526857576865e-05,2.755827297655369e-05,2.617808454862307e-05,2.665295201066762e-05,7276693172.589807
2026-01-12 14:36:33.272623,2.4315524883145306e-05,2.6765181281371976e-05,2.019399371938027e-05,2.419463822815926e-05,6274692840.06566
